Gene	Symbol	Description At Homolog	
Zm00001d046654		Plant UBX domain-containing protein 4	
Zm00001d046655		Putative STRUBBELIG family receptor protein kinase	AT4G22130
Zm00001d046656		Nudix hydrolase 10	AT5G47650
Zm00001d046658		Intron maturase type II family protein	AT1G74350
Zm00001d046660		alpha/beta-Hydrolases superfamily protein	AT3G30380
Zm00001d046661		Amino acid transporter-like protein%3B Amino acid transporter-like protein isoform 1%3B Amino acid transporter-like protein isoform 2	
Zm00001d046662		Cullin-associated NEDD8-dissociated protein 1	
Zm00001d046663		RING/U-box superfamily protein	AT5G15820,AT3G02340
Zm00001d046664	bzip35	bZIP-transcription factor 35	
Zm00001d046665		Phytosulfokines 1	
Zm00001d046671		40S ribosomal protein S4-3	
Zm00001d046676		tryptophan synthase beta type 2	AT5G38530
Zm00001d046677		Nuclear pore complex protein GP210	
Zm00001d046679	hak10	potassium high-affinity transporter10	AT5G14880,AT1G70300
Zm00001d046680		Pentatricopeptide repeat-containing protein	AT4G16470
Zm00001d046681		Glucomannan 4-beta-mannosyltransferase 2	AT5G03760
Zm00001d046682		Peroxiredoxin-5	AT3G52960
Zm00001d046683		Stromal processing peptidase chloroplastic	AT5G42390
Zm00001d046684		F-box domain containing protein expressed	AT3G44120,AT2G07140,AT3G17530,AT3G19410,AT3G08750,AT3G18980,AT4G09870,AT3G19470,AT3G17710,AT5G41500,AT3G19890,AT5G60560,AT3G16880,AT4G04690,AT3G17540,AT3G18910,AT3G16590,AT3G49980,AT3G17280,AT1G65990,AT3G21410,AT3G22700,AT5G41490,AT3G17480,AT2G24510,AT3G18330,AT3G19560,AT2G04920,AT1G25141,AT5G41510,AT1G12170,AT3G25460,AT5G47300
Zm00001d046687		TMV response protein	
Zm00001d046688	platz16	PLATZ-transcription factor 16	
Zm00001d046690	umc114	Galactan beta-14-galactosyltransferase GALS1	AT2G33570
Zm00001d046691		Cellulose synthase A catalytic subunit 5 [UDP-forming]	
Zm00001d046693		Putative ribosomal protein S8 family protein	
Zm00001d046694		Peptidase S24/S26A/S26B/S26C family protein	
Zm00001d046696		AT-hook motif nuclear-localized protein 29	
Zm00001d046697	AY103770	Dihydroflavonol-4-reductase	AT2G33600,AT2G33590
Zm00001d046700		NAD(P)-binding Rossmann-fold superfamily protein	AT2G33600,AT2G33590
Zm00001d046703		Sec1 family domain-containing protein MIP3	
Zm00001d046704		Sec1 family domain-containing protein MIP3	
Zm00001d046705	umc1743	Dihydroflavonol-4-reductase	
Zm00001d046706		Dihydroflavonol-4-reductase	
Zm00001d046709		Chaperonin 60 subunit beta 2 chloroplastic	
Zm00001d046711		Dihydroflavonol-4-reductase	
Zm00001d046713		Dihydroflavonol-4-reductase	
Zm00001d046714		NAD(P)-binding Rossmann-fold superfamily protein	
Zm00001d046716		RNA-binding (RRM/RBD/RNP motifs) family protein	AT1G20880,AT1G76460
Zm00001d046717		Brefeldin A-inhibited guanine nucleotide-exchange protein 1	AT4G35380,AT4G38200
Zm00001d046718	bzip60	bZIP transcription factor60	AT1G42990
Zm00001d046719	arid10	ARID-transcription factor 10	AT2G17410
Zm00001d046722		Protein MICRORCHIDIA 7	
Zm00001d046723		Expansin-A20	AT4G38210
Zm00001d046724		General transcription factor 2-related zinc finger protein	
Zm00001d046725		Putative D-mannose binding lectin family receptor-like protein kinase	
Zm00001d046727		Arabinosyltransferase XEG113	
Zm00001d046728	vq52	VQ motif-transcription factor52	AT2G42140,AT2G44340,AT3G58000,AT3G60090
Zm00001d046736		RING/U-box superfamily protein	
Zm00001d046737		RING/U-box superfamily protein	
Zm00001d046740	c3h18	C3H-transcription factor 318	AT5G06770,AT3G12130
Zm00001d046742	AW257883	Ribose-phosphate pyrophosphokinase	
Zm00001d046743	arpg1	acid phosphatase-regulating gene1	
Zm00001d046747		Putative NAC domain transcription factor superfamily protein	
Zm00001d046748		Putative polyphenol oxidase family protein	
Zm00001d046749		Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein	AT1G51570,AT3G57880
Zm00001d046750		Phytoene synthase chloroplastic	
Zm00001d046751	bzip70	bZIP-transcription factor 70	
Zm00001d046753		Vacuolar protein sorting-associated protein 52 A	
Zm00001d046755	arr4	ARR-B-transcription factor 4	
Zm00001d046758		Putative cytochrome P450 superfamily protein	AT5G06900
Zm00001d046759	bhlh69	bHLH-transcription factor 69	AT3G57800,AT2G42300
Zm00001d046760		Signal recognition particle 19 kDa protein	
Zm00001d046761	com1	completion of meiotic recombination1	AT3G52115
Zm00001d046764		Putative pentatricopeptide repeat-containing protein  mitochondrial	AT3G13770
Zm00001d046765		Putative glycosyl hydrolase of unknown function (DUF1680)	AT5G12960,AT5G12950
Zm00001d046766		Putative glycosyl hydrolase of unknown function (DUF1680)	
Zm00001d046767	znf1	zinc finger protein1	AT1G51200
Zm00001d046769		NAD(P)-binding Rossmann-fold superfamily protein	
Zm00001d046771		PHD finger family protein	
Zm00001d046772		Putative O-Glycosyl hydrolase superfamily protein	
Zm00001d046774		Zinc finger protein WIP2	
Zm00001d046778		IQ-domain 33	AT5G35670
Zm00001d046779		Glutathione synthetase chloroplastic	
Zm00001d046781	mlo7	barley mlo defense gene homolog7	
Zm00001d046782		DNA polymerase eta	
Zm00001d046783	gras70	GRAS-transcription factor 70	AT1G55580
Zm00001d046784		Alpha carbonic anhydrase 7	
Zm00001d046786	umc1267	Photosystem I chlorophyll a/b-binding protein 3-1 chloroplastic	AT1G61520
Zm00001d046791		Putative homeodomain-like superfamily protein	
Zm00001d046792		Probable calcium-binding protein CML21	AT4G26470
Zm00001d046793	bnl5.04	Putative subtilase family protein	AT2G04160
Zm00001d046794		Putative serine peptidase S28 family protein	
Zm00001d046798		Serine carboxypeptidase S28 family protein	
Zm00001d046800		Putative serine peptidase S28 family protein	AT2G24280
Zm00001d046801		Putative serine peptidase S28 family protein	AT2G24280
Zm00001d046802		Serine/threonine-protein kinase	
Zm00001d046803		Protein POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND REDISTRIBUTION	AT4G31805,AT5G10890
Zm00001d046805	wrky124	WRKY-transcription factor 124	AT1G80840,AT4G31800
Zm00001d046808		3-oxoacyl-[acyl-carrier-protein] synthase III chloroplastic	
Zm00001d046810		Transcription initiation factor TFIID subunit 5	AT5G25150
Zm00001d046811	hm2	Helminthosporium carbonum susceptibility2	
Zm00001d046812		Chaperone protein dnaJ 8 chloroplastic	AT1G80920
Zm00001d046813	TIDP2779	Chaperone protein dnaJ 8 chloroplastic	
Zm00001d046814		Serrate RNA effector molecule	
Zm00001d046818		Methionine aminopeptidase 2B	
Zm00001d046819		Protein kinase domain containing protein	
Zm00001d046823	hagtf35	GNAT-transcription factor 35	
Zm00001d046828		Probable protein phosphatase 2C 21	AT2G25070,AT4G31860
Zm00001d046831		Probable protein phosphatase 2C 21	AT2G25070,AT4G31860
Zm00001d046832		AT hook motif-containing protein	
Zm00001d046833		Replication protein-like	
Zm00001d046834		Low temperature and salt responsive protein	
Zm00001d046835	rpo2	RNA polymerase2	
Zm00001d046836		Sas10/Utp3/C1D family	AT1G07840
Zm00001d046838		Putative receptor-like protein kinase family protein	AT3G46290,AT5G59700
Zm00001d046840		Retrotransposon-like protein	
Zm00001d046841		Retrotransposon-like protein	
Zm00001d046848		1-aminocyclopropane-1-carboxylate oxidase 1	
Zm00001d046849		Protein kinase superfamily protein	
Zm00001d046850		GDSL esterase/lipase	
Zm00001d046852		Heptahelical transmembrane protein 2	AT4G30850,AT2G24150
Zm00001d046854		Mitogen-activated protein kinase 4	
Zm00001d046855	rz682	GDP-L-fucose synthase 1	AT1G17890,AT1G73250
Zm00001d046856		Exosome complex exonuclease RRP46 homolog	
Zm00001d046859		Putative RING zinc finger domain superfamily protein	
Zm00001d046861		Ubiquitin carboxyl-terminal hydrolase 3	
Zm00001d046862		Peptidase family M48 family protein	
Zm00001d046865	cer2	eceriferum2	AT5G57800
Zm00001d046866		Senescence-associated protein DH	
Zm00001d046867		Putative HLH DNA-binding domain superfamily protein	
Zm00001d046871		SAC3 family protein B	
Zm00001d046873		Probable ADP-ribosylation factor GTPase-activating protein AGD5	
Zm00001d046875	rdr3	RNA-dependent RNA polymerase3	AT3G49500
Zm00001d046881		RNA-dependent RNA polymerase 6	AT2G05370
Zm00001d046882		Ypt/Rab-GAP domain of gyp1p superfamily protein	
Zm00001d046883		Diphthamide biosynthesis protein 3	
Zm00001d046884		65-kDa microtubule-associated protein 3	
Zm00001d046887		NC domain-containing protein-related	
Zm00001d046888	GRMZM2G085218	B-box zinc finger family protein%3B Putative B-box type zinc finger family protein	AT3G21150
Zm00001d046889		Protein STRUBBELIG-RECEPTOR FAMILY 1	AT4G03390,AT2G20850
Zm00001d046890		Putative ubiquitin-conjugating enzyme family%3B Ubiquitin-conjugating enzyme E2S	AT5G05080
Zm00001d046891		Methionyl-tRNA synthetase	
Zm00001d046893		Auxin efflux carrier component 2	
Zm00001d046898	dps1	dihydrodipicolinate synthase1	AT2G45440,AT3G60880
Zm00001d046900		Grx_C4-glutaredoxin subgroup I	AT5G20500
Zm00001d046903		protein kinase-related	
Zm00001d046905		Villin-4	
Zm00001d046906	sbp4	SBP-domain protein4	
Zm00001d046909	hpt1	homogentisate phytyltransferase1	AT2G18950
Zm00001d046913	hscf1	heat shock complementing factor1	
Zm00001d046914		Fasciclin-like arabinogalactan protein 8	
Zm00001d046915		Putative AMP-dependent synthetase and ligase superfamily protein	AT1G51680,AT3G21240
Zm00001d046916	lim166	CASP-like protein 10	
Zm00001d046919		Chloride channel protein CLC-b	AT3G27170,AT5G40890
Zm00001d046921		F-box protein AFR	AT2G24540
Zm00001d046922		F-box protein AFR	AT2G24540
Zm00001d046923		D-3-phosphoglycerate dehydrogenase 2 chloroplastic	
Zm00001d046925	col13	C2C2-CO-like-transcription factor 13	
Zm00001d046926		Protein kinase superfamily protein	
Zm00001d046927		Protein GLUTAMINE DUMPER 5	AT2G24762,AT4G31730
Zm00001d046928	hk5	histidine kinase5	AT5G10720
Zm00001d046929		Protein transport protein Sec61 subunit gamma-3	AT4G24920,AT5G50460
Zm00001d046930		Transducin/WD40 repeat-like superfamily protein	
Zm00001d046933	rdr2	RNA-dependent RNA polymerase2	AT3G49500
Zm00001d046935		cryptochrome 3	AT5G24850
Zm00001d046936		Core-2/I-branching beta-16-N-acetylglucosaminyltransferase family protein	AT4G30060,AT4G25870,AT2G19160,AT5G57270,AT4G31350
Zm00001d046937	bzip17	bZIP-transcription factor 17	AT5G24800
Zm00001d046938		Pollen receptor-like kinase 4	AT1G50610,AT3G20190
Zm00001d046939		Protein kinase superfamily protein	AT2G07180
Zm00001d046940		Peptidyl-prolyl cis-trans isomerase	AT5G45680
Zm00001d046941		Receptor-like cytosolic serine/threonine-protein kinase RBK1	AT5G65530,AT5G10520
Zm00001d046942		Fructose-1%2C6-bisphosphatase	AT5G64380
Zm00001d046945		Vacuolar sorting receptor 7	AT1G30900,AT2G34940,AT4G20110
Zm00001d046947	glk34	G2-like-transcription factor 34	AT1G79430
Zm00001d046948		Cell division control protein 50	AT1G54320,AT3G12740,AT1G16360,AT1G79450
Zm00001d046949		Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	AT5G44730
Zm00001d046950		Protein UNUSUAL FLORAL ORGANS	AT1G30950
Zm00001d046952		Allantoate deiminase	AT4G20070
Zm00001d046953	hma9	heavy metal ATPase9	
Zm00001d046954		Mitogen-activated protein kinase 3	
Zm00001d046958	platz17	PLATZ-transcription factor 17	
Zm00001d046959		Thioredoxin O1 mitochondrial	AT2G35010,AT1G31020
Zm00001d046960	IDP809	Glycosyltransferase-like KOBITO 1	
Zm00001d046961	vq53	VQ motif-transcription factor53	AT4G15120,AT3G22160
Zm00001d046962		Transketolase-1 chloroplastic	
Zm00001d046965		Serrate RNA effector molecule	
Zm00001d046967	ca5p7	CCAAT-HAP5-transcription factor 57	AT1G56170
Zm00001d046968	mab20	math-btb20	
Zm00001d046971	pza00152	Filamentation temperature-sensitive H 2A isoform 1%3B Filamentation temperature-sensitive H 2A isoform 2%3B Filamentation temperature-sensitive H 2A isoform 3	AT2G30950,AT1G06430
Zm00001d046972		Probable CDP-diacylglycerol--inositol 3-phosphatidyltransferase 2	AT4G38570,AT1G68000
Zm00001d046973		conserved oligomeric Golgi complex component-related / COG complex component-related	AT5G51430
Zm00001d046974	mybr86	MYB-related-transcription factor 86	AT5G52660
Zm00001d046978		Cysteine proteinases superfamily protein	AT3G22260
Zm00001d046979	pzb01358	Molybdenum cofactor sulfurase	
Zm00001d046981	glk32	G2-like-transcription factor 32	AT1G14600
Zm00001d046986		SAUR25-auxin-responsive SAUR family member	AT3G12830,AT1G16510
Zm00001d046992		Binding partner of ACD11 1	
Zm00001d046993		Auxin responsive protein	
Zm00001d046995	umc1107	Patellin-5	
Zm00001d046996	tub7	beta tubulin7	
Zm00001d046997		Cysteine-rich receptor-like protein kinase 19	
Zm00001d046998		Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 5	
Zm00001d047005		DUF241 domain protein	
Zm00001d047006		 protein; Expressed protein	
Zm00001d047013	dek39	defective kernel39	
Zm00001d047015		DnaJ homolog subfamily C GRV2	AT2G26890
Zm00001d047017	bhlh91	bHLH-transcription factor 91	AT4G17880,AT1G32640
Zm00001d047018		Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein	
Zm00001d047019	tubtf13	TUB-transcription factor 13	
Zm00001d047020		ADP-ribosylation factor GTPase-activating protein AGD10	AT4G17890,AT5G46750
Zm00001d047023		Putative ubiquitin carboxyl-terminal hydrolase superfamily protein	
Zm00001d047025	platz13	PLATZ-transcription factor 13	
Zm00001d047028		BAH domain ;TFIIS helical bundle-like domain	AT3G48060,AT3G48050
Zm00001d047030		BAH domain ;TFIIS helical bundle-like domain	AT3G48060,AT3G48050
Zm00001d047032		pfkB-like carbohydrate kinase family protein	
Zm00001d047033		pfkB-like carbohydrate kinase family protein	
Zm00001d047034		AMMECR1 family	AT2G38710
Zm00001d047035		RPM1 interacting protein 13	AT5G54148,AT4G27660,AT5G54150
Zm00001d047037		Abscisic acid receptor PYR1	AT5G46790,AT4G17870
Zm00001d047039		nonsense-mediated mRNA decay NMD3 family protein	AT2G03820
Zm00001d047042	IDP665	AT-hook motif nuclear-localized protein 13	AT4G17950,AT5G46640
Zm00001d047043		Chaperone DnaJ-domain superfamily protein	AT2G01710
Zm00001d047044		RING/FYVE/PHD zinc finger superfamily protein	AT5G16680,AT3G02890
Zm00001d047045		Plant intracellular Ras-group-related LRR protein 4	
Zm00001d047046		DAR GTPase 2 mitochondrial	
Zm00001d047047		 protein; Expressed protein	
Zm00001d047048		Putative transcription elongation factor SPT5 homolog 1	
Zm00001d047049	pap6	purple acid phosphatase6	
Zm00001d047050	nactf135	NAC-transcription factor 135	
Zm00001d047051		ARM repeat superfamily protein	
Zm00001d047053		BR-signaling kinase 2	AT5G46570
Zm00001d047054	pyk3	pyruvate kinase3	
Zm00001d047055		Formin-like protein 18	AT1G10020
Zm00001d047056		Trigger factor-like protein TIG Chloroplastic	
Zm00001d047058		Tobamovirus multiplication protein 2B	AT1G32370
Zm00001d047059		Tobamovirus multiplication protein 2A	AT1G32400
Zm00001d047060		OSJNBb0016D16.16 protein;  protein	AT2G44600,AT3G60200
Zm00001d047062		Ras-related protein Rab5	
Zm00001d047063		camphor resistance CrcB family protein	AT2G41705
Zm00001d047064		Peroxidase 44	
Zm00001d047066		Peroxidase 44	
Zm00001d047067		chloroplast chaperonin 10	AT3G60210,AT2G44650
Zm00001d047068		Putative RING zinc finger domain superfamily protein	AT3G60220
Zm00001d047069		Putative RING zinc finger domain superfamily protein	AT5G47050,AT1G32740,AT4G17680
Zm00001d047072		evolutionarily conserved C-terminal region 10	
Zm00001d047074	pza03470	pleckstrin homology (PH) domain-containing protein	
Zm00001d047076		CAI-1 autoinducer sensor kinase/phosphatase cqsS isoform 1	
Zm00001d047077		Beta-amylase 3 chloroplastic	AT4G17090
Zm00001d047078		Putative metacaspase family protein	AT1G02170
Zm00001d047079		G2484-1 protein	
Zm00001d047081	gata28	C2C2-GATA-transcription factor 28	AT2G45050,AT3G60530
Zm00001d047084		Imidazole glycerol phosphate synthase hisHF chloroplastic	
Zm00001d047085		Glycine cleavage system H protein 2 mitochondrial	
Zm00001d047086		transcription regulators	
Zm00001d047087	expb8	beta expansin8	
Zm00001d047088		OSJNBa0089K21.9 protein; Os04g0471100 protein	
Zm00001d047089	expb5	beta expansin5	
Zm00001d047090		Expansin-B4	
Zm00001d047091		Expansin-B4	
Zm00001d047092		ARF guanine-nucleotide exchange factor GNOM	
Zm00001d047093		Expansin-B4	
Zm00001d047094		Expansin-B4	
Zm00001d047096	expb17	beta expansin17	
Zm00001d047097		Putative MYB DNA-binding domain superfamily protein	
Zm00001d047099		DnaJ domain ;Myb-like DNA-binding domain	
Zm00001d047102		Zinc finger protein ZAT9	AT3G60580,AT2G45120
Zm00001d047103		Gallus gallus similar to zinc finger RNA binding protein (LOC427010) mRNA.	
Zm00001d047104		Putative glucuronosyltransferase PGSIP7	AT4G16600,AT2G35710
Zm00001d047105		Oxysterol-binding protein-related protein 2A	
Zm00001d047106		zinc finger (C2H2 type) family protein	
Zm00001d047109		Xyloglucan galactosyltransferase KATAMARI1	
Zm00001d047110	trpp12	trehalose-6-phosphate phosphatase12	AT4G22590,AT4G12430
Zm00001d047111		extensin-like protein	
Zm00001d047113	TIDP3384	extensin-like protein	
Zm00001d047114		extensin-like protein	
Zm00001d047115		extensin-like protein	
Zm00001d047116		extensin-like protein	
Zm00001d047117	piip1	physical impedance induced protein1	
Zm00001d047119		NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8 mitochondrial	AT5G47570
Zm00001d047121		NAD-dependent protein deacylase SRT2	
Zm00001d047122		PAN domain-containing protein	
Zm00001d047123	gras71	GRAS-transcription factor 71	
Zm00001d047124		Proline oxidase	AT3G30775,AT5G38710
Zm00001d047125		Pectin acetylesterase 9	AT5G23870
Zm00001d047126	ufg70	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-related	AT4G00440,AT1G01695
Zm00001d047128	murE1	mureinE1	AT1G63680
Zm00001d047130		Translocase of chloroplast 120 chloroplastic	AT2G16640,AT3G16620
Zm00001d047131		Protein TRIGALACTOSYLDIACYLGLYCEROL 3 chloroplastic	
Zm00001d047135	lop1	lo1 pI allergen homolog1	
Zm00001d047139		Plasma membrane	
Zm00001d047142		Expansin-B4	
Zm00001d047143		Callose synthase 7	
Zm00001d047146	expb1	beta expansin1	
Zm00001d047147		Expansin-B4	
Zm00001d047149	ppr100	pentatricopeptide repeat100	AT2G01860
Zm00001d047150		Short-chain dehydrogenase TIC 32 chloroplastic	
Zm00001d047153		Myosin heavy chain-related protein	
Zm00001d047156		SKU5  similar 13	
Zm00001d047157		Fungi - 40; CONTAINS InterPro DOMAIN/s: Endoribonuclease XendoU (InterPro:IPR018998); Bacteria - 61; Metazoa - 472; Other Eukaryotes - 257 (source: NCBI BLink).; Viruses - 35; Has 943 Blast hits to 770 proteins in 162 species: Archae - 0; Plants - 78	
Zm00001d047159	smr4	siamese-related4	
Zm00001d047160		C-terminal isoform 3	
Zm00001d047161		C-terminal isoform 3	
Zm00001d047162		UDP-Glycosyltransferase superfamily protein	
Zm00001d047163		Transmembrane emp24 domain-containing protein 10	AT1G26690,AT1G69460,AT1G14010,AT2G03290
Zm00001d047166	cgs1	cystathionine gamma-synthase1	AT3G01120
Zm00001d047167		Transcription factor VOZ1	
Zm00001d047168		OSJNBa0052O21.7 protein;  protein	
Zm00001d047170		hAT dimerisation domain-containing protein / transposase-related	AT5G57520
Zm00001d047173		Ras-related protein RABG3a	
Zm00001d047174		Polypyrimidine tract-binding protein homolog 1	
Zm00001d047177		TATA-binding protein-associated factor BTAF1	
Zm00001d047178		Putative nucleoside phosphatase GDA1/CD39 family protein	
Zm00001d047180		[Pyruvate dehydrogenase (acetyl-transferring)] kinase mitochondrial	
Zm00001d047181		transferases transferring acyl groups	AT4G17910
Zm00001d047182	myb52	MYB-transcription factor 52	
Zm00001d047183		Probable methyltransferase PMT2	
Zm00001d047184	ufg68	mucin-related	AT2G02880
Zm00001d047186		40S ribosomal protein S9	AT5G39850
Zm00001d047187		HSP20-like chaperones superfamily protein	
Zm00001d047190		3-ketoacyl-CoA synthase 12	AT1G07720,AT2G28630
Zm00001d047191	umc1492	Putative SAP DNA-binding domain family protein isoform 1%3B Putative SAP DNA-binding domain family protein isoform 2	AT4G39680
Zm00001d047192		5-pentadecatrienyl resorcinol O-methyltransferase	AT4G35150,AT4G35160
Zm00001d047193		Retrovirus-related Pol polyprotein LINE-1	
Zm00001d047194		5-pentadecatrienyl resorcinol O-methyltransferase	AT4G35150,AT4G35160
Zm00001d047195		Chaperone protein dnaJ A6 chloroplastic	
Zm00001d047199		Probable protein phosphatase 2C 21	
Zm00001d047200		Probable protein phosphatase 2C 21	
Zm00001d047201		Serine carboxypeptidase-like 40	
Zm00001d047202	vq54	VQ motif-transcription factor54	
Zm00001d047204		Protein LNK1	AT5G64170
Zm00001d047207		Copper-transporting ATPase PAA1	
Zm00001d047208		WAT1-related protein	
Zm00001d047209	AY110782	Calmodulin-binding transcription activator 2	
Zm00001d047210		Putative metacaspase family protein	
Zm00001d047211		Putative metacaspase family protein	
Zm00001d047212		Putative metacaspase family protein	
Zm00001d047214		Chaperone DnaJ-domain superfamily protein	
Zm00001d047216	TIDP2890	Putative HLH DNA-binding domain superfamily protein isoform 1%3B Putative HLH DNA-binding domain superfamily protein isoform 2	AT5G64340,AT5G09460
Zm00001d047217		5-hydroxyisourate hydrolase	AT5G58220
Zm00001d047218	cox6b	cytochrome-c oxidase subunit VIb	
Zm00001d047220	snrkII1	SnRK2 serine threonine protein kinase1	AT1G78290
Zm00001d047222		Organic cation/carnitine transporter 3	AT1G79360,AT1G16390
Zm00001d047223		Serine carboxypeptidase-like 51	AT2G27920
Zm00001d047224		Probable acetyl-CoA acetyltransferase cytosolic 2	
Zm00001d047226		Polynucleotide adenylyltransferase family protein	
Zm00001d047233		Retrovirus-related Pol polyprotein LINE-1	
Zm00001d047235		Serine carboxypeptidase-like 51	AT2G27920
Zm00001d047236	umc1120	P-loop containing nucleoside triphosphate hydrolases superfamily protein	AT3G50620,AT2G15730,AT4G34420
Zm00001d047238		Probable inactive heme oxygenase 2 chloroplastic	AT2G26550
Zm00001d047239		Probable protein phosphatase 2C 12	AT1G47380
Zm00001d047240		Putative DUF827 domain containing family protein	AT2G26570,AT4G33390
Zm00001d047241	pap10	purple acid phosphatase10	AT1G53710
Zm00001d047242		Vacuolar cation/proton exchanger 2	AT1G55720,AT1G55730,AT3G13320
Zm00001d047245		Transducin/WD40 repeat-like superfamily protein	AT1G10580,AT5G20870
Zm00001d047247		Putative RING zinc finger domain superfamily protein	
Zm00001d047248		TatD related DNase	
Zm00001d047249		Serine/threonine phosphatase family 2C	
Zm00001d047250	platz14	PLATZ-transcription factor 14	
Zm00001d047251	pme7	pectin methylesterase7	
Zm00001d047253	sus1	sucrose synthase1	AT5G20830,AT3G43190
Zm00001d047255	csu43	3-oxoacyl-[acyl-carrier-protein] synthase II chloroplastic	AT1G74960
Zm00001d047256		Protein kinase domain superfamily protein	AT1G08720
Zm00001d047257		B3 domain-containing transcription factor LEC2	
Zm00001d047260		Whole genome shotgun sequence of line PN40024 scaffold_16.assembly12x (Fragment)	AT1G19200,AT5G20700,AT1G74940
Zm00001d047261		3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 2	
Zm00001d047262	IDP756	Putative ribosomal protein S8 family protein	AT2G19720,AT4G29430
Zm00001d047265		Transcription initiation factor TFIID subunit 9	AT1G54140
Zm00001d047266	gras74	GRAS-transcription factor 74	AT3G13840
Zm00001d047268		Exocyst complex component SEC15A	AT3G56640
Zm00001d047269	GRMZM2G359322	Protein EARLY FLOWERING 4	
Zm00001d047271		Probable small nuclear ribonucleoprotein G	AT2G23930,AT3G11500
Zm00001d047272		 protein; Expressed protein	
Zm00001d047273		Probable galacturonosyltransferase 11	AT1G18580
Zm00001d047274		 protein; Expressed protein	
Zm00001d047275		PLC-like phosphodiesterases superfamily protein	AT1G13680
Zm00001d047276	bk2	brittle stalk2	AT5G15630
Zm00001d047279		Putative cytochrome P450 superfamily protein	
Zm00001d047281		Pentatricopeptide repeat-containing protein	
Zm00001d047282	TIDP2933	Protein SPIRAL1	
Zm00001d047283		Vacuolar protein sorting-associated protein 52 A	AT1G71270,AT1G71300
Zm00001d047287		Probable anion transporter 3 chloroplastic	
Zm00001d047288		Polynucleotidyl transferase ribonuclease H-like superfamily protein	
Zm00001d047289		Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain	
Zm00001d047290	ncp3	nine complex protein3	AT3G29575,AT1G13740,AT1G69260
Zm00001d047292		SPFH/Band 7/PHB domain-containing membrane-associated protein family	AT2G03510
Zm00001d047293		Glucan endo-1%2C3-beta-glucosidase 4	
Zm00001d047295		KH domain-containing protein	
Zm00001d047296		40S ribosomal protein S19-3	
Zm00001d047298		C2H2-like zinc finger protein	
Zm00001d047299		LL-diaminopimelate aminotransferase chloroplastic	
Zm00001d047300		Ubiquitin-fusion protein%3B Ubiquitin-fusion protein isoform 1%3B Ubiquitin-fusion protein isoform 2	AT5G15460,AT3G01050
Zm00001d047302		Putative chaperone clbp family protein	AT5G15450
Zm00001d047303		RING/U-box superfamily protein	AT3G29270
Zm00001d047306		Probable ubiquitin conjugation factor E4	AT5G15400
Zm00001d047307	pgr3	proton gradient regulation3 homolog	AT4G31850
Zm00001d047309	wrky61	WRKY-transcription factor 61	
Zm00001d047310		PRKR interacting protein 1	AT2G15270
Zm00001d047312		Helicase protein MOM1	
Zm00001d047316	mmp37	Putative cytochrome P450 superfamily protein	
Zm00001d047317		Long chain base biosynthesis protein 2a	
Zm00001d047323		Probable magnesium transporter NIPA8	
Zm00001d047324		Lipase-like protein	
Zm00001d047325		 protein; Expressed protein	
Zm00001d047329		Transcriptional regulatory protein algP	
Zm00001d047330		Zinc finger protein AZF2	AT5G67450,AT5G04340,AT5G43170,AT1G27730,AT3G19580
Zm00001d047331		late embryogenesis abundant protein-related / LEA protein-related	
Zm00001d047332		General transcription factor 2-related zinc finger protein	
Zm00001d047334		Zinc finger protein AZF2	AT5G67450,AT5G04340,AT5G43170,AT1G27730,AT3G19580
Zm00001d047335		Probable esterase KAI2	AT4G37470
Zm00001d047339	ereb67	AP2-EREBP-transcription factor 67	
Zm00001d047340		Allene oxide cyclase 3 chloroplastic	AT3G25780,AT1G13280,AT3G25770,AT3G25760
Zm00001d047345		 protein; Expressed protein	AT5G67370
Zm00001d047346	ofp37	OVATE-transcription factor 37	
Zm00001d047347		65-kDa microtubule-associated protein 3	
Zm00001d047349	simk1	salt-induced MAP kinase1	
Zm00001d047350		Alpha/beta hydrolase related protein	
Zm00001d047351	TIDP3699	PLAC8 family protein	AT5G41390,AT1G63830,AT4G23470
Zm00001d047352		Transducin/WD40 repeat-like superfamily protein	
Zm00001d047353		Expansin-A7	AT1G12560,AT1G62980
Zm00001d047354	uce17	ubiquitin conjugating enzyme17	AT3G57870
Zm00001d047355		Agamous-like MADS-box protein AGL14	
Zm00001d047356	mads76	MADS-transcription factor 76	
Zm00001d047358		Peroxidase K	
Zm00001d047359	abi38	ABI3-VP1-transcription factor 38	
Zm00001d047362		Tobamovirus multiplication protein 3	AT2G02180,AT1G14530
Zm00001d047364		Pmr5/Cas1p GDSL/SGNH-like acyl-esterase family protein	AT3G03210
Zm00001d047367		nucleic acid binding;methyltransferases	
Zm00001d047369		myosin-related	
Zm00001d047372	es2	embryo sac2	
